,Year,Month,PDO_anomaly
208,2004,6.0,1.17
209,2005,6.0,1.04
210,2006,6.0,0.09
211,2007,6.0,-1.34
212,2008,6.0,-0.31
213,2009,6.0,-0.22
214,2010,6.0,-0.69
215,2011,6.0,-0.87
216,2012,6.0,-0.78
217,2013,6.0,0.82
218,2014,6.0,1.54
219,2015,6.0,2.03
220,2016,6.0,0.79
221,2017,6.0,-0.04
222,2018,6.0,1.09
223,2019,6.0,-0.08
224,2020,6.0,
225,1996,7.0,2.35
226,1997,7.0,-0.04
227,1998,7.0,-0.66
228,1999,7.0,-0.66
229,2000,7.0,-1.31
230,2001,7.0,-0.31
231,2002,7.0,0.96
232,2003,7.0,0.44
233,2004,7.0,0.66
234,2005,7.0,0.35
235,2006,7.0,0.78
236,2007,7.0,-1.67
237,2008,7.0,-0.53
238,2009,7.0,-1.05
239,2010,7.0,-1.86
240,2011,7.0,-1.52
241,2012,7.0,-1.25
242,2013,7.0,0.7
243,2014,7.0,1.84
244,2015,7.0,1.25
245,2016,7.0,0.1
246,2017,7.0,0.11
247,2018,7.0,1.03
248,2019,7.0,-0.38
249,2020,7.0,
250,1996,8.0,2.79
251,1997,8.0,-0.22
252,1998,8.0,-0.96
253,1999,8.0,-1.19
254,2000,8.0,-0.77
255,2001,8.0,0.6
256,2002,8.0,0.88
257,2003,8.0,0.85
258,2004,8.0,0.25
259,2005,8.0,-0.65
260,2006,8.0,0.5
261,2007,8.0,-1.7
262,2008,8.0,0.09
263,2009,8.0,-1.27
264,2010,8.0,-1.74
265,2011,8.0,-1.93
266,2012,8.0,-1.04
267,2013,8.0,0.67
268,2014,8.0,1.56
269,2015,8.0,0.52
270,2016,8.0,0.09
271,2017,8.0,0.18
272,2018,8.0,0.38
273,2019,8.0,-0.28
274,2020,8.0,
275,1996,9.0,2.19
276,1997,9.0,-1.21
277,1998,9.0,-1.53
278,1999,9.0,-1.24
279,2000,9.0,-1.37
280,2001,9.0,0.43
281,2002,9.0,0.01
282,2003,9.0,0.75
283,2004,9.0,-0.46
284,2005,9.0,-0.94
285,2006,9.0,-0.36
286,2007,9.0,-1.55
287,2008,9.0,0.52
288,2009,9.0,-1.61
289,2010,9.0,-1.79
290,2011,9.0,-2.21
291,2012,9.0,-0.48
292,2013,9.0,1.08
293,2014,9.0,1.94
294,2015,9.0,0.45
295,2016,9.0,0.32
296,2017,9.0,0.09
297,2018,9.0,0.41
298,2019,9.0,-0.7
299,2020,9.0,
